id_lokasi,nama_lokasi,tipe
L002,Shanghai_2,Tujuan
L003,Shanghai_3,Tujuan
L004,Shanghai_4,Tujuan
L005,Shanghai_5,Tujuan
L006,Shanghai_6,Tujuan
L007,Shanghai_7,Tujuan
L008,Shanghai_8,Tujuan
L009,Shanghai_9,Tujuan
L010,Shanghai_10,Tujuan
L011,Shanghai_11,Tujuan
L012,Shanghai_12,Tujuan
L013,Shanghai_13,Tujuan
L014,Shanghai_14,Tujuan
L015,Shanghai_15,Tujuan
L016,Shanghai_16,Tujuan
L017,Shanghai_17,Tujuan
L018,Shanghai_18,Tujuan
L019,Shanghai_19,Tujuan
L020,Shanghai_20,Tujuan
L021,Shanghai_21,Tujuan
L022,Shanghai_22,Tujuan
L023,Shanghai_23,Tujuan
L024,Shanghai_24,Tujuan
L025,Shanghai_25,Tujuan
L026,Shanghai_26,Tujuan
L027,Shanghai_27,Tujuan
L028,Shanghai_28,Tujuan
L029,Shanghai_29,Tujuan
L030,Shanghai_30,Tujuan
L031,Shanghai_31,Tujuan
L032,Shanghai_32,Tujuan
L033,Shanghai_33,Tujuan
L034,Shanghai_34,Tujuan
L035,Shanghai_35,Tujuan
L036,Shanghai_36,Tujuan
L037,Shanghai_37,Tujuan
L038,Shanghai_38,Tujuan
L039,Shanghai_39,Tujuan
L040,Shanghai_40,Tujuan
L041,Shanghai_41,Tujuan
L042,Shanghai_42,Tujuan
L043,Shanghai_43,Tujuan
L044,Shanghai_44,Tujuan
L045,Shanghai_45,Tujuan
L046,Shanghai_46,Tujuan
L047,Shanghai_47,Tujuan
L048,Shanghai_48,Tujuan
L049,Shanghai_49,Tujuan
L050,Shanghai_50,Tujuan
L051,Shanghai_51,Tujuan
L052,Shanghai_52,Tujuan
L053,Shanghai_53,Tujuan
L054,Shanghai_54,Tujuan
L055,Shanghai_55,Tujuan
L056,Shanghai_56,Tujuan
L057,Shanghai_57,Tujuan
L058,Shanghai_58,Tujuan
L059,Shanghai_59,Tujuan
L060,Shanghai_60,Tujuan
L061,Shanghai_61,Tujuan
L062,Shanghai_62,Tujuan
L063,Shanghai_63,Tujuan
L064,Shanghai_64,Tujuan
L065,Shanghai_65,Tujuan
L066,Shanghai_66,Tujuan
L067,Shanghai_67,Tujuan
L068,Shanghai_68,Tujuan
L069,Shanghai_69,Tujuan
L070,Shanghai_70,Tujuan
L071,Shanghai_71,Tujuan
L072,Shanghai_72,Tujuan
L073,Shanghai_73,Tujuan
L074,Shanghai_74,Tujuan
L075,Shanghai_75,Tujuan
L076,Shanghai_76,Tujuan
L077,Shanghai_77,Tujuan
L078,Shanghai_78,Tujuan
L079,Shanghai_79,Tujuan
L080,Shanghai_80,Tujuan
L081,Shanghai_81,Tujuan
L082,Shanghai_82,Tujuan
L083,Shanghai_83,Tujuan
L084,Shanghai_84,Tujuan
L085,Shanghai_85,Tujuan
L086,Shanghai_86,Tujuan
L087,Shanghai_87,Tujuan
L088,Shanghai_88,Tujuan
L089,Shanghai_89,Tujuan
L090,Shanghai_90,Tujuan
L091,Shanghai_91,Tujuan
L092,Shanghai_92,Tujuan
L093,Shanghai_93,Tujuan
L094,Shanghai_94,Tujuan
L095,Shanghai_95,Tujuan
L096,Shanghai_96,Tujuan
L097,Shanghai_97,Tujuan
L098,Shanghai_98,Tujuan
L099,Shanghai_99,Tujuan
L100,Shanghai_100,Tujuan
L101,NewLoc,Tujuan
