id_rute,asal,tujuan,jarak
R0001,L002,L006,0.1
R0002,L002,L009,0.1
R0003,L002,L015,0.1
R0004,L002,L016,0.1
R0005,L002,L018,0.1
R0006,L002,L023,0.1
R0007,L002,L025,0.1
R0008,L002,L029,0.1
R0009,L002,L030,0.1
R0010,L002,L037,0.1
R0011,L002,L044,0.2
R0012,L002,L047,0.11
R0013,L002,L061,0.21
R0014,L002,L067,0.21
R0015,L002,L068,0.1
R0016,L002,L077,0.1
R0017,L002,L079,0.1
R0018,L002,L080,0.2
R0019,L002,L082,0.1
R0020,L002,L087,0.1
R0021,L002,L092,3.38
R0022,L003,L005,0.13
R0023,L003,L015,0.1
R0024,L003,L016,0.13
R0025,L003,L019,0.15
R0026,L003,L020,0.16
R0027,L003,L021,0.1
R0028,L003,L023,0.12
R0029,L003,L024,0.16
R0030,L003,L026,0.13
R0031,L003,L027,0.21
R0032,L003,L030,0.12
R0033,L003,L032,0.21
R0034,L003,L035,0.16
R0035,L003,L038,0.11
R0036,L003,L041,0.19
R0037,L003,L043,0.13
R0038,L003,L044,0.26
R0039,L003,L046,0.1
R0040,L003,L050,0.27
R0041,L003,L053,0.1
R0042,L003,L055,0.13
R0043,L003,L061,0.26
R0044,L003,L062,0.13
R0045,L003,L064,0.1
R0046,L003,L072,0.15
R0047,L003,L074,0.13
R0048,L003,L076,0.1
R0049,L003,L078,0.11
R0050,L003,L079,0.1
R0051,L003,L082,0.13
R0052,L003,L083,0.16
R0053,L003,L087,0.13
R0054,L003,L089,0.16
R0055,L003,L090,3.3
R0056,L003,L093,3.33
R0057,L003,L098,0.64
R0058,L003,L099,0.69
R0059,L004,L005,0.1
R0060,L004,L009,0.14
R0061,L004,L011,0.14
R0062,L004,L012,0.14
R0063,L004,L016,0.1
R0064,L004,L023,0.1
R0065,L004,L026,0.1
R0066,L004,L027,0.1
R0067,L004,L030,0.1
R0068,L004,L031,0.1
R0069,L004,L048,0.1
R0070,L004,L053,0.1
R0071,L004,L057,0.1
R0072,L004,L059,0.1
R0073,L004,L060,0.1
R0074,L004,L061,0.14
R0075,L004,L063,0.13
R0076,L004,L067,0.14
R0077,L004,L070,0.1
R0078,L004,L072,0.1
R0079,L004,L074,0.1
R0080,L004,L075,0.1
R0081,L004,L076,0.1
R0082,L004,L090,3.41
R0083,L004,L092,3.45
R0084,L004,L095,3.41
R0085,L004,L096,3.42
R0086,L004,L098,0.77
R0087,L004,L099,0.82
R0088,L005,L002,0.1
R0089,L005,L004,0.1
R0090,L005,L009,0.14
R0091,L005,L010,0.15
R0092,L005,L012,0.14
R0093,L005,L016,0.1
R0094,L005,L017,0.1
R0095,L005,L019,0.1
R0096,L005,L023,0.1
R0097,L005,L026,0.1
R0098,L005,L031,0.1
R0099,L005,L035,0.1
R0100,L005,L037,0.1
R0101,L005,L038,0.1
R0102,L005,L047,0.1
R0103,L005,L053,0.1
R0104,L005,L055,0.1
R0105,L005,L056,0.1
R0106,L005,L059,0.1
R0107,L005,L063,0.13
R0108,L005,L065,0.1
R0109,L005,L069,0.1
R0110,L005,L074,0.1
R0111,L005,L077,0.1
R0112,L005,L085,0.14
R0113,L005,L086,0.1
R0114,L005,L087,0.1
R0115,L005,L089,0.1
R0116,L005,L094,3.43
R0117,L005,L096,3.43
R0118,L006,L008,0.1
R0119,L006,L009,0.14
R0120,L006,L011,0.14
R0121,L006,L013,0.1
R0122,L006,L017,0.1
R0123,L006,L026,0.1
R0124,L006,L032,0.1
R0125,L006,L033,0.11
R0126,L006,L038,0.1
R0127,L006,L041,0.1
R0128,L006,L052,0.1
R0129,L006,L054,0.1
R0130,L006,L057,0.1
R0131,L006,L063,0.13
R0132,L006,L064,0.1
R0133,L006,L065,0.1
R0134,L006,L067,0.14
R0135,L006,L072,0.1
R0136,L006,L074,0.1
R0137,L006,L078,0.1
R0138,L006,L086,0.1
R0139,L006,L088,0.14
R0140,L006,L090,3.41
R0141,L006,L093,3.44
R0142,L006,L096,3.42
R0143,L006,L098,0.77
R0144,L006,L099,0.82
R0145,L007,L009,0.14
R0146,L007,L014,0.1
R0147,L007,L016,0.1
