id_lokasi,nama_lokasi,tipe
L001,Shanghai_1,Tujuan
L002,Shanghai_2,Tujuan
L003,Shanghai_3,Tujuan
L004,Shanghai_4,Tujuan
L005,Shanghai_5,Tujuan
L006,Shanghai_6,Tujuan
L007,Shanghai_7,Tujuan
L008,Shanghai_8,Tujuan
L009,Shanghai_9,Tujuan
L010,Shanghai_10,Tujuan
L011,Shanghai_11,Tujuan
L012,Shanghai_12,Tujuan
L013,Shanghai_13,Tujuan
L014,Shanghai_14,Tujuan
L015,Shanghai_15,Tujuan
L016,Shanghai_16,Tujuan
L017,Shanghai_17,Tujuan
L018,Shanghai_18,Tujuan
L019,Shanghai_19,Tujuan
L020,Shanghai_20,Tujuan
L021,Shanghai_21,Tujuan
L022,Shanghai_22,Tujuan
L023,Shanghai_23,Tujuan
L024,Shanghai_24,Tujuan
L025,Shanghai_25,Tujuan
L026,Shanghai_26,Tujuan
L027,Shanghai_27,Tujuan
L028,Shanghai_28,Tujuan
L029,Shanghai_29,Tujuan
L030,Shanghai_30,Tujuan
L031,Shanghai_31,Tujuan
L032,Shanghai_32,Tujuan
L033,Shanghai_33,Tujuan
L034,Shanghai_34,Tujuan
L035,Shanghai_35,Tujuan
L036,Shanghai_36,Tujuan
L037,Shanghai_37,Tujuan
L038,Shanghai_38,Tujuan
L039,Shanghai_39,Tujuan
L040,Shanghai_40,Tujuan
L041,Shanghai_41,Tujuan
L042,Shanghai_42,Tujuan
L043,Shanghai_43,Tujuan
L044,Shanghai_44,Tujuan
L045,Shanghai_45,Tujuan
L046,Shanghai_46,Tujuan
L047,Shanghai_47,Tujuan
L048,Shanghai_48,Tujuan
L049,Shanghai_49,Tujuan
L050,Shanghai_50,Tujuan
L051,Shanghai_51,Tujuan
L052,Shanghai_52,Tujuan
L053,Shanghai_53,Tujuan
L054,Shanghai_54,Tujuan
L055,Shanghai_55,Tujuan
L056,Shanghai_56,Tujuan
L057,Shanghai_57,Tujuan
L058,Shanghai_58,Tujuan
L059,Shanghai_59,Tujuan
L060,Shanghai_60,Tujuan
L061,Shanghai_61,Tujuan
L062,Shanghai_62,Tujuan
L063,Shanghai_63,Tujuan
L064,Shanghai_64,Tujuan
L065,Shanghai_65,Tujuan
L066,Shanghai_66,Tujuan
L067,Shanghai_67,Tujuan
L068,Shanghai_68,Tujuan
L069,Shanghai_69,Tujuan
L070,Shanghai_70,Tujuan
L071,Shanghai_71,Tujuan
L072,Shanghai_72,Tujuan
L073,Shanghai_73,Tujuan
L074,Shanghai_74,Tujuan
L075,Shanghai_75,Tujuan
L076,Shanghai_76,Tujuan
L077,Shanghai_77,Tujuan
L078,Shanghai_78,Tujuan
L079,Shanghai_79,Tujuan
L080,Shanghai_80,Tujuan
L081,Shanghai_81,Tujuan
L082,Shanghai_82,Tujuan
L083,Shanghai_83,Tujuan
L084,Shanghai_84,Tujuan
L085,Shanghai_85,Tujuan
L086,Shanghai_86,Tujuan
L087,Shanghai_87,Tujuan
L088,Shanghai_88,Tujuan
L089,Shanghai_89,Tujuan
L090,Shanghai_90,Tujuan
L091,Shanghai_91,Tujuan
L092,Shanghai_92,Tujuan
L093,Shanghai_93,Tujuan
L094,Shanghai_94,Tujuan
L095,Shanghai_95,Tujuan
L096,Shanghai_96,Tujuan
L097,Shanghai_97,Tujuan
L098,Shanghai_98,Tujuan
L099,Shanghai_99,Tujuan
L100,Shanghai_100,Tujuan
L101,Shanghai_101,Tujuan
L102,Shanghai_102,Tujuan
L103,Shanghai_103,Tujuan
L104,Shanghai_104,Tujuan
L105,Shanghai_105,Tujuan
L106,Shanghai_106,Tujuan
L107,Shanghai_107,Tujuan
L108,Shanghai_108,Tujuan
L109,Shanghai_109,Tujuan
L110,Shanghai_110,Tujuan
L111,Shanghai_111,Tujuan
L112,Shanghai_112,Tujuan
L113,Shanghai_113,Tujuan
L114,Shanghai_114,Tujuan
L115,Shanghai_115,Tujuan
L116,Shanghai_116,Tujuan
L117,Shanghai_117,Tujuan
L118,Shanghai_118,Tujuan
L119,Shanghai_119,Tujuan
L120,Shanghai_120,Tujuan
L121,Shanghai_121,Tujuan
L122,Shanghai_122,Tujuan
L123,Shanghai_123,Tujuan
L124,Shanghai_124,Tujuan
L125,Shanghai_125,Tujuan
L126,Shanghai_126,Tujuan
L127,Shanghai_127,Tujuan
L128,Shanghai_128,Tujuan
L129,Shanghai_129,Tujuan
L130,Shanghai_130,Tujuan
L131,Shanghai_131,Tujuan
L132,Shanghai_132,Tujuan
L133,Shanghai_133,Tujuan
L134,Shanghai_134,Tujuan
L135,Shanghai_135,Tujuan
L136,Shanghai_136,Tujuan
L137,Shanghai_137,Tujuan
L138,Shanghai_138,Tujuan
L139,Shanghai_139,Tujuan
L140,Shanghai_140,Tujuan
L141,Shanghai_141,Tujuan
L142,Shanghai_142,Tujuan
L143,Shanghai_143,Tujuan
L144,Shanghai_144,Tujuan
L145,Shanghai_145,Tujuan
L146,Shanghai_146,Tujuan
L147,Shanghai_147,Tujuan
L148,Shanghai_148,Tujuan
L149,Shanghai_149,Tujuan
L150,Shanghai_150,Tujuan
L151,Shanghai_151,Tujuan
L152,Shanghai_152,Tujuan
L153,Shanghai_153,Tujuan
L154,Shanghai_154,Tujuan
L155,Shanghai_155,Tujuan
L156,Shanghai_156,Tujuan
L157,Shanghai_157,Tujuan
L158,Shanghai_158,Tujuan
L159,Shanghai_159,Tujuan
L160,Shanghai_160,Tujuan
L161,Shanghai_161,Tujuan
L162,Shanghai_162,Tujuan
L163,Shanghai_163,Tujuan
L164,Shanghai_164,Tujuan
L165,Shanghai_165,Tujuan
L166,Shanghai_166,Tujuan
L167,Shanghai_167,Tujuan
L168,Shanghai_168,Tujuan
L169,Shanghai_169,Tujuan
L170,Shanghai_170,Tujuan
L171,Shanghai_171,Tujuan
L172,Shanghai_172,Tujuan
L173,Shanghai_173,Tujuan
L174,Shanghai_174,Tujuan
L175,Shanghai_175,Tujuan
L176,Shanghai_176,Tujuan
L177,Shanghai_177,Tujuan
L178,Shanghai_178,Tujuan
L179,Shanghai_179,Tujuan
L180,Shanghai_180,Tujuan
L181,Shanghai_181,Tujuan
L182,Shanghai_182,Tujuan
L183,Shanghai_183,Tujuan
L184,Shanghai_184,Tujuan
L185,Shanghai_185,Tujuan
L186,Shanghai_186,Tujuan
L187,Shanghai_187,Tujuan
L188,Shanghai_188,Tujuan
L189,Shanghai_189,Tujuan
L190,Shanghai_190,Tujuan
L191,Shanghai_191,Tujuan
L192,Shanghai_192,Tujuan
L193,Shanghai_193,Tujuan
L194,Shanghai_194,Tujuan
L195,Shanghai_195,Tujuan
L196,Shanghai_196,Tujuan
L197,Shanghai_197,Tujuan
L198,Shanghai_198,Tujuan
L199,Shanghai_199,Tujuan
L200,Shanghai_200,Tujuan
L201,Shanghai_201,Tujuan
L202,Shanghai_202,Tujuan
L203,Shanghai_203,Tujuan
L204,Shanghai_204,Tujuan
L205,Shanghai_205,Tujuan
L206,Shanghai_206,Tujuan
L207,Shanghai_207,Tujuan
L208,Shanghai_208,Tujuan
L209,Shanghai_209,Tujuan
L210,Shanghai_210,Tujuan
L211,Shanghai_211,Tujuan
L212,Shanghai_212,Tujuan
L213,Shanghai_213,Tujuan
L214,Shanghai_214,Tujuan
L215,Shanghai_215,Tujuan
L216,Shanghai_216,Tujuan
L217,Shanghai_217,Tujuan
L218,Shanghai_218,Tujuan
L219,Shanghai_219,Tujuan
L220,Shanghai_220,Tujuan
L221,Shanghai_221,Tujuan
L222,Shanghai_222,Tujuan
