id_rute,asal,tujuan,jarak
R0001,L490,L198,0.1
R0002,L112,L246,6.25
R0003,L110,L322,6.27
R0004,L419,L403,0.1
R0005,L431,L228,0.19
R0006,L163,L068,4.93
R0007,L033,L367,1.07
R0008,L482,L193,5.01
R0009,L215,L078,1.18
R0010,L186,L051,4.92
R0011,L239,L063,1.24
R0012,L137,L015,7.01
R0013,L387,L306,0.1
R0014,L284,L479,0.1
R0015,L234,L478,0.1
R0016,L468,L416,0.17
R0017,L201,L301,0.1
R0018,L198,L146,6.11
R0019,L337,L341,0.1
R0020,L016,L255,1.1
R0021,L310,L244,0.19
R0022,L355,L395,0.1
R0023,L073,L380,1.17
R0024,L408,L221,0.1
R0025,L075,L197,6.89
R0026,L210,L013,1.11
R0027,L379,L459,0.12
R0028,L168,L016,4.94
R0029,L183,L404,5.15
R0030,L473,L243,0.1
R0031,L191,L228,5.0
R0032,L265,L177,5.16
R0033,L325,L079,1.08
R0034,L345,L057,1.1
R0035,L291,L086,1.17
R0036,L283,L082,1.18
R0037,L239,L161,5.01
R0038,L014,L488,1.16
R0039,L310,L221,0.1
R0040,L400,L114,6.0
R0041,L316,L380,0.1
R0042,L336,L358,0.1
R0043,L126,L256,6.01
R0044,L306,L452,0.1
R0045,L192,L201,4.93
R0046,L313,L082,1.2
R0047,L030,L288,1.16
R0048,L048,L336,1.19
R0049,L364,L313,0.1
R0050,L202,L251,0.1
R0051,L235,L019,1.22
R0052,L050,L382,1.33
R0053,L118,L257,6.02
R0054,L174,L417,5.0
R0055,L428,L333,0.1
R0056,L446,L467,0.17
R0057,L394,L048,1.18
R0058,L485,L315,0.1
R0059,L376,L408,0.1
R0060,L463,L147,5.99
R0061,L294,L189,5.01
R0062,L271,L471,0.1
R0063,L345,L420,0.11
R0064,L371,L329,0.16
R0065,L255,L383,0.11
R0066,L282,L336,0.1
R0067,L104,L070,7.03
R0068,L255,L239,0.1
R0069,L354,L361,0.1
R0070,L453,L483,0.1
R0071,L065,L258,1.19
R0072,L073,L262,1.18
R0073,L351,L472,0.1
R0074,L430,L356,0.1
R0075,L294,L346,0.14
R0076,L038,L097,3.41
R0077,L223,L142,6.0
R0078,L418,L009,0.98
R0079,L464,L125,6.01
R0080,L106,L417,6.04
R0081,L066,L344,1.22
R0082,L446,L336,0.11
R0083,L332,L314,0.1
R0084,L245,L166,5.1
R0085,L478,L288,0.1
R0086,L107,L232,6.08
R0087,L134,L335,6.04
R0088,L152,L383,5.98
R0089,L462,L280,0.11
R0090,L231,L304,0.1
R0091,L184,L192,0.14
R0092,L220,L294,0.11
R0093,L420,L319,0.1
R0094,L322,L162,4.96
R0095,L014,L046,0.1
R0096,L218,L041,1.16
R0097,L370,L318,0.1
R0098,L039,L484,1.06
R0099,L261,L002,1.04
R0100,L191,L352,5.17
R0101,L185,L129,7.54
R0102,L310,L309,0.17
R0103,L031,L479,1.21
R0104,L443,L015,1.05
R0105,L233,L205,0.1
R0106,L387,L263,0.18
R0107,L316,L468,0.1
R0108,L181,L280,5.01
R0109,L489,L396,0.1
R0110,L294,L071,1.2
R0111,L038,L231,1.17
R0112,L359,L057,1.16
R0113,L207,L188,5.11
R0114,L208,L153,6.24
R0115,L286,L481,0.1
R0116,L117,L380,5.98
R0117,L037,L271,1.18
R0118,L477,L314,0.11
R0119,L021,L448,1.06
R0120,L324,L220,0.1
R0121,L307,L396,0.11
R0122,L165,L312,5.1
R0123,L233,L038,1.17
R0124,L202,L316,0.1
R0125,L495,L303,0.1
R0126,L072,L386,1.2
R0127,L033,L278,1.07
R0128,L164,L469,4.97
R0129,L197,L237,5.64
R0130,L345,L135,6.08
R0131,L272,L151,5.99
R0132,L242,L388,0.1
R0133,L423,L320,0.1
R0134,L140,L111,0.11
R0135,L266,L107,6.03
R0136,L418,L470,0.12
R0137,L390,L408,0.1
R0138,L068,L128,7.18
R0139,L494,L465,0.1
R0140,L446,L159,4.99
R0141,L345,L256,0.11
R0142,L150,L017,7.18
R0143,L340,L406,0.13
R0144,L078,L177,4.94
R0145,L154,L023,7.14
R0146,L435,L042,1.19
R0147,L231,L392,0.1
R0148,L117,L370,6.0
R0149,L366,L171,5.08
R0150,L218,L273,0.17
R0151,L499,L026,1.1
R0152,L370,L141,6.29
R0153,L422,L188,5.1
R0154,L266,L349,0.1
R0155,L343,L044,1.3
R0156,L069,L329,1.27
R0157,L002,L388,1.12
R0158,L387,L495,0.1
R0159,L234,L402,0.1
R0160,L485,L020,1.14
R0161,L439,L398,0.1
R0162,L440,L363,0.1
R0163,L134,L436,6.01
R0164,L295,L124,5.98
R0165,L421,L349,0.11
R0166,L003,L361,0.98
R0167,L041,L473,1.21
R0168,L022,L231,1.09
R0169,L237,L119,5.98
R0170,L277,L112,6.31
R0171,L043,L290,1.1
R0172,L132,L102,0.27
R0173,L272,L262,0.12
R0174,L357,L485,0.1
R0175,L289,L058,1.16
R0176,L220,L336,0.1
R0177,L299,L251,0.1
R0178,L136,L373,6.3
R0179,L148,L347,6.28
R0180,L036,L142,7.13
R0181,L149,L168,7.56
R0182,L031,L292,1.13
R0183,L320,L166,5.0
R0184,L360,L059,1.19
R0185,L124,L111,0.14
R0186,L221,L309,0.17
R0187,L402,L241,0.1
R0188,L145,L399,5.99
R0189,L293,L334,0.1
R0190,L124,L376,5.99
R0191,L024,L289,1.2
R0192,L081,L414,1.25
R0193,L030,L189,4.93
R0194,L461,L412,0.1
R0195,L313,L248,0.1
R0196,L027,L299,1.27
R0197,L469,L123,6.27
R0198,L031,L269,1.23
