id_rute,asal,tujuan,jarak
R0001,L005,L001,0.1
R0002,L005,L004,0.1
R0003,L005,L010,0.15
R0004,L004,L002,0.1
R0005,L006,L005,0.1
R0006,L006,L002,0.1
R0007,L010,L003,0.1
R0008,L009,L010,0.1
R0009,L002,L001,0.1
R0010,L002,L007,0.1
R0011,L001,L009,0.14
R0012,L003,L006,0.13
R0013,L002,L010,0.1
R0014,L006,L004,0.1
R0015,L006,L010,0.15
R0016,L001,L002,0.1
R0017,L002,L006,0.1
R0018,L002,L009,0.1
R0019,L007,L005,0.1
R0020,L008,L010,0.1
R0021,L004,L003,0.13
R0022,L005,L002,0.1
R0023,L004,L009,0.14
R0024,L001,L004,0.1
R0025,L003,L004,0.13
R0026,L003,L007,0.14
R0027,L007,L001,0.1
R0028,L008,L006,0.1
R0029,L007,L004,0.1
R0030,L008,L009,0.1
