id_rute,asal,tujuan,jarak
R0001,L008,L027,0.16
R0002,L043,L012,0.14
R0003,L056,L094,3.49
R0004,L095,L013,3.32
R0005,L092,L026,3.45
R0006,L037,L090,3.41
R0007,L061,L038,0.16
R0008,L085,L014,0.14
R0009,L096,L023,3.42
R0010,L011,L037,0.16
R0011,L086,L049,0.1
R0012,L067,L063,0.1
R0013,L015,L034,0.18
R0014,L014,L075,0.1
R0015,L019,L004,0.1
R0016,L017,L080,0.11
R0017,L036,L093,3.47
R0018,L002,L091,3.35
R0019,L008,L022,0.1
R0020,L079,L073,0.1
R0021,L028,L009,0.14
R0022,L070,L091,3.34
R0023,L059,L091,3.42
R0024,L022,L060,0.1
R0025,L007,L071,0.1
R0026,L040,L077,0.12
R0027,L040,L086,0.1
R0028,L004,L011,0.14
R0029,L067,L049,0.12
R0030,L098,L027,0.85
R0031,L099,L010,0.68
R0032,L072,L002,0.1
R0033,L090,L050,3.51
R0034,L090,L059,3.41
R0035,L002,L086,0.11
R0036,L049,L036,0.1
R0037,L011,L018,0.16
R0038,L033,L042,0.11
R0039,L098,L031,0.81
R0040,L021,L095,3.31
R0041,L097,L063,3.5
R0042,L087,L040,0.1
R0043,L014,L056,0.1
R0044,L090,L036,3.44
R0045,L099,L014,0.81
R0046,L017,L061,0.11
R0047,L029,L026,0.1
R0048,L089,L077,0.11
R0049,L047,L080,0.1
R0050,L037,L057,0.1
R0051,L069,L098,0.85
R0052,L093,L065,3.47
R0053,L076,L003,0.1
R0054,L082,L055,0.1
R0055,L011,L031,0.12
R0056,L001,L085,0.13
R0057,L085,L075,0.1
R0058,L025,L033,0.1
R0059,L015,L010,0.1
R0060,L021,L090,3.31
R0061,L089,L081,0.13
R0062,L007,L020,0.1
R0063,L050,L089,0.12
R0064,L016,L096,3.42
R0065,L074,L037,0.1
R0066,L021,L040,0.15
R0067,L067,L025,0.27
R0068,L096,L070,3.34
R0069,L024,L063,0.11
R0070,L025,L028,0.14
R0071,L005,L059,0.1
R0072,L088,L093,3.53
R0073,L057,L087,0.1
R0074,L023,L094,3.42
R0075,L018,L034,0.1
R0076,L006,L032,0.1
R0077,L015,L099,0.68
R0078,L082,L036,0.1
R0079,L040,L030,0.1
R0080,L051,L076,0.1
R0081,L034,L005,0.1
R0082,L032,L035,0.1
R0083,L086,L015,0.17
R0084,L044,L027,0.1
R0085,L098,L007,0.78
R0086,L056,L001,0.1
R0087,L090,L003,3.3
R0088,L025,L041,0.2
R0089,L096,L092,0.1
R0090,L054,L086,0.1
R0091,L071,L017,0.1
R0092,L047,L056,0.1
R0093,L039,L052,0.17
R0094,L046,L100,0.72
R0095,L039,L079,0.1
R0096,L081,L057,0.16
R0097,L039,L088,0.28
R0098,L020,L056,0.1
R0099,L084,L068,0.1
R0100,L012,L061,0.28
R0101,L044,L004,0.13
R0102,L033,L004,0.11
R0103,L003,L012,0.1
R0104,L036,L009,0.16
R0105,L021,L057,0.11
R0106,L053,L089,0.12
R0107,L034,L085,0.1
R0108,L054,L063,0.14
R0109,L089,L039,0.18
R0110,L073,L085,0.15
R0111,L023,L075,0.1
R0112,L078,L029,0.1
R0113,L039,L065,0.17
R0114,L006,L040,0.1
R0115,L050,L074,0.15
R0116,L063,L004,0.13
R0117,L028,L046,0.1
R0118,L043,L053,0.1
R0119,L049,L087,0.1
R0120,L032,L016,0.1
R0121,L072,L098,0.79
R0122,L086,L014,0.1
R0123,L061,L079,0.24
R0124,L021,L043,0.11
R0125,L096,L073,3.42
R0126,L035,L054,0.1
R0127,L073,L080,0.14
R0128,L024,L007,0.1
R0129,L020,L064,0.12
R0130,L005,L030,0.1
R0131,L035,L040,0.1
R0132,L054,L053,0.1
R0133,L089,L020,0.1
R0134,L058,L032,0.1
R0135,L015,L070,0.1
R0136,L039,L037,0.14
R0137,L027,L035,0.1
R0138,L031,L023,0.1
R0139,L009,L032,0.22
R0140,L001,L046,0.1
R0141,L095,L062,3.42
R0142,L088,L032,0.1
R0143,L057,L044,0.14
R0144,L089,L024,0.1
R0145,L057,L071,0.1
R0146,L059,L010,0.15
R0147,L068,L077,0.1
R0148,L081,L028,0.15
R0149,L064,L052,0.12
R0150,L021,L001,0.12
R0151,L076,L035,0.1
R0152,L012,L041,0.17
R0153,L053,L042,0.1
R0154,L083,L092,3.48
R0155,L032,L019,0.1
R0156,L084,L057,0.1
R0157,L044,L002,0.2
R0158,L065,L034,0.1
R0159,L034,L065,0.1
R0160,L042,L078,0.1
R0161,L097,L023,3.41
R0162,L069,L004,0.1
R0163,L045,L083,0.11
R0164,L015,L060,0.1
R0165,L090,L063,3.49
R0166,L025,L092,3.32
R0167,L070,L005,0.1
R0168,L071,L068,0.1
R0169,L048,L075,0.1
R0170,L091,L055,3.42
R0171,L090,L099,2.8
R0172,L010,L076,0.1
R0173,L092,L038,3.44
R0174,L020,L031,0.1
R0175,L042,L028,0.1
R0176,L073,L006,0.1
R0177,L012,L036,0.16
R0178,L032,L014,0.1
R0179,L074,L087,0.1
R0180,L045,L069,0.16
R0181,L035,L043,0.1
R0182,L069,L017,0.1
R0183,L067,L084,0.14
R0184,L098,L071,0.8
R0185,L099,L036,0.84
R0186,L060,L054,0.1
R0187,L090,L067,3.5
R0188,L048,L061,0.12
R0189,L064,L042,0.1
R0190,L060,L090,3.34
R0191,L083,L055,0.1
R0192,L029,L084,0.1
R0193,L049,L062,0.1
R0194,L006,L091,3.42
R0195,L042,L032,0.1
R0196,L073,L028,0.1
R0197,L057,L011,0.15
R0198,L045,L055,0.1
R0199,L097,L004,3.42
R0200,L075,L056,0.1
R0201,L015,L014,0.13
R0202,L052,L063,0.11
R0203,L077,L016,0.1
R0204,L052,L090,3.44
R0205,L058,L021,0.1
R0206,L072,L032,0.1
R0207,L056,L078,0.1
R0208,L084,L006,0.1
R0209,L064,L037,0.1
R0210,L082,L063,0.14
R0211,L011,L021,0.25
R0212,L015,L009,0.1
R0213,L026,L055,0.1
R0214,L038,L029,0.1
R0215,L075,L078,0.1
R0216,L086,L087,0.1
R0217,L099,L017,0.85
R0218,L014,L077,0.1
R0219,L036,L077,0.1
R0220,L071,L053,0.11
R0221,L017,L082,0.1
R0222,L037,L078,0.1
R0223,L039,L097,3.29
R0224,L053,L004,0.1
R0225,L029,L083,0.1
R0226,L094,L041,3.5
R0227,L063,L072,0.11
R0228,L001,L097,3.42
R0229,L067,L069,0.1
R0230,L048,L037,0.1
R0231,L071,L039,0.17
R0232,L090,L052,3.44
R0233,L019,L010,0.16
R0234,L060,L057,0.1
R0235,L066,L091,3.45
R0236,L018,L060,0.1
R0237,L069,L096,3.48
R0238,L061,L003,0.26
R0239,L010,L074,0.14
R0240,L081,L088,0.1
R0241,L043,L080,0.13
R0242,L063,L058,0.14
R0243,L082,L080,0.14
R0244,L060,L007,0.1
R0245,L086,L068,0.1
R0246,L014,L049,0.1
R0247,L052,L066,0.1
R0248,L033,L062,0.11
R0249,L017,L045,0.12
R0250,L089,L061,0.12
R0251,L025,L067,0.27
R0252,L056,L045,0.16
R0253,L047,L082,0.1
R0254,L069,L100,0.88
R0255,L081,L074,0.15
R0256,L007,L045,0.1
R0257,L020,L073,0.1
R0258,L055,L040,0.1
R0259,L020,L091,3.45
R0260,L031,L091,3.46
R0261,L009,L100,0.69
R0262,L033,L030,0.1
R0263,L052,L043,0.1
R0264,L071,L002,0.11
R0265,L088,L082,0.15
R0266,L048,L009,0.16
R0267,L097,L060,3.34
R0268,L029,L023,0.1
R0269,L038,L090,3.4
R0270,L059,L042,0.1
R0271,L093,L053,3.36
R0272,L070,L060,0.1
R0273,L082,L034,0.1
R0274,L081,L078,0.16
R0275,L053,L007,0.1
R0276,L043,L070,0.1
R0277,L009,L086,0.16
R0278,L084,L089,0.1
R0279,L076,L085,0.2
R0280,L055,L071,0.1
R0281,L005,L061,0.14
R0282,L073,L079,0.1
R0283,L056,L017,0.1
R0284,L037,L013,0.1
R0285,L097,L064,3.33
R0286,L036,L057,0.1
R0287,L048,L022,0.13
R0288,L037,L031,0.1
R0289,L066,L085,0.1
R0290,L099,L100,0.23
R0291,L070,L064,0.1
R0292,L016,L093,3.44
R0293,L080,L096,3.49
R0294,L062,L060,0.1
R0295,L033,L011,0.25
R0296,L086,L026,0.1
R0297,L097,L032,3.48
R0298,L076,L098,0.7
R0299,L071,L001,0.1
R0300,L071,L010,0.17
R0301,L029,L004,0.1
R0302,L071,L019,0.1
R0303,L038,L071,0.1
R0304,L100,L055,0.81
R0305,L050,L054,0.16
R0306,L077,L080,0.2
R0307,L007,L012,0.15
R0308,L043,L042,0.1
R0309,L063,L029,0.11
R0310,L021,L023,0.11
R0311,L095,L070,3.33
R0312,L014,L002,0.1
R0313,L061,L095,3.49
R0314,L096,L071,3.45
R0315,L017,L025,0.17
R0316,L025,L038,0.12
R0317,L097,L054,3.41
R0318,L065,L083,0.1
R0319,L057,L079,0.11
R0320,L035,L079,0.14
R0321,L023,L095,3.41
R0322,L027,L056,0.1
R0323,L015,L100,0.67
R0324,L059,L045,0.1
R0325,L039,L076,0.1
R0326,L059,L054,0.1
R0327,L020,L035,0.1
R0328,L016,L083,0.1
R0329,L008,L079,0.1
R0330,L043,L046,0.1
R0331,L027,L092,3.52
R0332,L028,L066,0.1
R0333,L063,L033,0.23
R0334,L041,L085,0.17
R0335,L036,L006,0.1
R0336,L097,L031,3.45
R0337,L036,L024,0.1
R0338,L035,L056,0.1
R0339,L035,L065,0.1
R0340,L054,L078,0.1
R0341,L035,L074,0.1
R0342,L066,L052,0.1
R0343,L050,L044,0.1
R0344,L058,L057,0.1
R0345,L081,L031,0.12
R0346,L016,L060,0.1
R0347,L020,L030,0.1
R0348,L072,L077,0.1
R0349,L084,L042,0.1
R0350,L085,L025,0.26
R0351,L022,L085,0.23
R0352,L061,L067,0.1
R0353,L088,L030,0.15
