id_rute,asal,tujuan,jarak
R0001,L001,L002,0.08
R0002,L002,L003,0.05
R0003,L003,L004,0.13
R0004,L004,L005,0.01
R0005,L005,L006,0.0
R0006,L006,L007,0.01
R0007,L007,L008,0.08
R0008,L008,L009,0.08
R0009,L009,L010,0.02
R0010,L010,L011,0.29
R0011,L011,L012,0.29
R0012,L012,L013,0.06
R0013,L013,L014,0.09
R0014,L014,L015,0.13
R0015,L015,L016,0.14
R0016,L016,L017,0.04
R0017,L017,L018,0.04
R0018,L018,L019,0.03
R0019,L019,L020,0.01
R0020,L002,L001,1.19
R0021,L007,L015,4.73
R0022,L011,L009,4.13
R0023,L012,L017,3.85
R0024,L013,L015,4.3
R0025,L009,L008,0.92
R0026,L018,L001,1.37
R0027,L020,L014,3.99
R0028,L003,L016,1.4
R0029,L014,L003,4.81
R0030,L006,L001,3.82
R0031,L004,L012,4.31
R0032,L009,L020,0.58
R0033,L008,L017,2.16
R0034,L020,L010,3.73
R0035,L002,L015,1.94
R0036,L017,L007,1.93
R0037,L007,L010,4.06
R0038,L006,L017,1.49
R0039,L014,L016,3.86
R0040,L013,L004,1.73
R0041,L008,L014,3.15
R0042,L004,L008,4.04
R0043,L019,L004,3.4
R0044,L003,L014,2.7
R0045,L008,L013,4.49
R0046,L014,L008,4.05
R0047,L014,L006,2.47
R0048,L002,L017,4.51
R0049,L018,L017,3.06
R0050,L012,L018,2.92
R0051,L014,L013,4.25
R0052,L011,L020,1.05
R0053,L015,L010,0.58
R0054,L010,L005,3.79
R0055,L016,L012,2.53
R0056,L016,L019,0.55
R0057,L005,L007,0.52
R0058,L006,L015,3.46
R0059,L006,L010,1.79
R0060,L014,L004,1.52
