order_id,region_id,city,courier_id,lng,lat,aoi_id,aoi_type,accept_time,accept_gps_time,accept_gps_lng,accept_gps_lat,delivery_time,delivery_gps_time,delivery_gps_lng,delivery_gps_lat,ds
3158819,1,Shanghai,164,121.52128,31.06614,450,1,06-04 11:05:00,06-04 11:05:00,121.52281,31.10598,06-04 17:40:00,06-04 17:40:00,121.52407,31.06614,604
751342,1,Shanghai,164,121.52124,31.06687,450,1,06-04 11:18:00,06-04 11:18:00,121.52286,31.10599,06-04 15:06:00,06-04 15:06:00,121.52412,31.06618,604
3380476,1,Shanghai,164,121.52106,31.06731,450,1,06-03 10:13:00,06-03 10:13:00,121.52285,31.10591,06-03 15:11:00,06-03 15:11:00,121.52059,31.06672,603
2184571,1,Shanghai,164,121.52128,31.06616,450,1,06-04 10:39:00,06-04 10:39:00,121.52282,31.10593,06-04 15:41:00,06-04 15:41:00,121.5228,31.10542,604
941371,1,Shanghai,164,121.52123,31.06614,450,1,06-04 11:18:00,06-04 11:18:00,121.52285,31.10593,06-04 14:07:00,06-04 14:07:00,121.5229,31.06758,604
1278638,1,Shanghai,164,121.52127,31.06616,450,1,06-03 10:14:00,06-03 10:14:00,121.52289,31.10596,06-03 19:20:00,06-03 19:20:00,121.52409,31.06616,603
261182,1,Shanghai,164,121.52127,31.06611,450,1,06-03 10:15:00,06-03 10:15:00,121.5228,31.10591,06-03 16:30:00,06-03 16:30:00,121.52402,31.0662,603
3459225,1,Shanghai,420,121.52124,31.06686,450,1,09-07 11:51:00,09-07 11:51:00,121.52295,31.10786,09-07 18:54:00,09-07 18:54:00,121.52128,31.06685,907
705091,1,Shanghai,534,121.52069,31.06727,450,1,10-11 18:01:00,10-11 18:01:00,121.52296,31.10779,10-11 18:46:00,10-11 18:46:00,121.5206,31.06717,1011
2545410,1,Shanghai,540,121.52053,31.06726,450,1,09-12 19:40:00,09-12 19:40:00,121.52285,31.1078,09-12 20:30:00,09-12 20:30:00,121.52056,31.06718,912
3799613,1,Shanghai,2621,121.52209,31.06515,450,1,08-14 17:56:00,08-14 17:56:00,121.52286,31.106,08-14 18:36:00,08-14 18:36:00,121.522,31.06521,814
3074816,1,Shanghai,2923,121.52062,31.06727,450,1,08-06 10:26:00,08-06 10:26:00,121.52278,31.10603,08-06 11:55:00,08-06 11:55:00,121.52054,31.06717,806
4245432,1,Shanghai,4467,121.52113,31.06705,450,1,09-11 09:45:00,09-11 09:45:00,121.52298,31.10788,09-11 15:42:00,09-11 15:42:00,121.52112,31.06712,911
486971,1,Shanghai,4467,121.52129,31.06625,450,1,07-08 10:07:00,07-08 10:07:00,121.52286,31.10601,07-08 18:34:00,07-08 18:34:00,121.52121,31.06622,708
4336265,1,Shanghai,4467,121.52106,31.06741,450,1,07-10 09:59:00,07-10 09:59:00,121.5228,31.10593,07-10 13:56:00,07-10 13:56:00,121.52116,31.06736,710
1229299,1,Shanghai,4467,121.52128,31.06618,450,1,07-19 09:36:00,07-19 09:36:00,121.52272,31.10595,07-19 19:05:00,07-19 19:05:00,121.5212,31.0662,719
125049,1,Shanghai,4467,121.52123,31.06585,450,1,09-02 13:31:00,09-02 13:31:00,121.52288,31.10773,09-02 18:56:00,09-02 18:56:00,121.52131,31.06592,902
195419,1,Shanghai,4467,121.52117,31.06624,450,1,07-15 14:53:00,07-15 14:53:00,121.52283,31.10609,07-15 19:04:00,07-15 19:04:00,121.52129,31.06617,715
691939,1,Shanghai,4467,121.52125,31.06596,450,1,08-13 13:25:00,08-13 13:25:00,121.52278,31.10594,08-13 16:58:00,08-13 16:58:00,121.52132,31.06586,813
1618925,1,Shanghai,4467,121.52136,31.0659,450,1,09-27 14:26:00,09-27 14:26:00,121.52291,31.10777,09-27 19:11:00,09-27 19:11:00,121.53737,31.06146,927
1319796,1,Shanghai,4467,121.52109,31.06717,450,1,09-26 09:27:00,09-26 09:27:00,121.52285,31.10778,09-26 17:26:00,09-26 17:26:00,121.5211,31.06707,926
1710115,1,Shanghai,4467,121.52111,31.06709,450,1,08-21 10:07:00,08-21 10:07:00,121.52279,31.10606,08-21 13:31:00,08-21 13:31:00,121.52118,31.06719,821
179680,1,Shanghai,4467,121.5212,31.06622,450,1,07-02 10:08:00,07-02 10:08:00,121.52284,31.10607,07-02 19:20:00,07-02 19:20:00,121.52129,31.06613,702
3656919,1,Shanghai,4467,121.52125,31.0659,450,1,08-24 10:31:00,08-24 10:31:00,121.52273,31.10591,08-24 17:20:00,08-24 17:20:00,121.52139,31.06597,824
489050,1,Shanghai,4467,121.52113,31.0674,450,1,09-18 09:04:00,09-18 09:04:00,121.52288,31.10788,09-18 18:22:00,09-18 18:22:00,121.5211,31.0674,918
2560349,1,Shanghai,4467,121.52129,31.06617,450,1,07-01 15:41:00,07-01 15:41:00,121.52276,31.10596,07-01 18:26:00,07-01 18:26:00,121.52118,31.06618,701
4063311,1,Shanghai,4467,121.52153,31.06546,450,1,09-21 09:20:00,09-21 09:20:00,121.52296,31.10785,09-21 18:44:00,09-21 18:44:00,121.52148,31.06541,921
2683724,1,Shanghai,4467,121.52121,31.06612,450,1,07-08 09:58:00,07-08 09:58:00,121.52288,31.10601,07-08 18:17:00,07-08 18:17:00,121.52129,31.06625,708
4088793,1,Shanghai,4467,121.5213,31.06593,450,1,08-22 09:52:00,08-22 09:52:00,121.52283,31.10594,08-22 12:18:00,08-22 12:18:00,121.52125,31.0659,822
4267798,1,Shanghai,4467,121.52127,31.06628,450,1,07-03 09:16:00,07-03 09:16:00,121.52283,31.10599,07-03 12:58:00,07-03 12:58:00,121.52126,31.0662,703
1548542,1,Shanghai,4467,121.52128,31.06582,450,1,09-12 09:22:00,09-12 09:22:00,121.52286,31.1078,09-12 16:56:00,09-12 16:56:00,121.52136,31.06596,912
416124,1,Shanghai,4467,121.52155,31.0655,450,1,07-05 09:54:00,07-05 09:54:00,121.52287,31.106,07-05 21:24:00,07-05 21:24:00,121.5215,31.0655,705
1928513,1,Shanghai,4467,121.52104,31.0671,450,1,07-09 13:09:00,07-09 13:09:00,121.52285,31.10598,07-09 18:10:00,07-09 18:10:00,121.52116,31.06714,709
2705867,1,Shanghai,4467,121.52135,31.06586,450,1,07-23 09:57:00,07-23 09:57:00,121.52282,31.10597,07-23 17:29:00,07-23 17:29:00,121.52133,31.06598,723
