id_rute,asal,tujuan,jarak
R0001,L060,L056,0.16
R0002,L025,L098,0.63
R0003,L099,L047,0.85
R0004,L017,L094,3.46
R0005,L090,L078,3.4
R0006,L051,L007,0.1
R0007,L083,L039,0.18
R0008,L084,L004,0.1
R0009,L056,L085,0.1
R0010,L030,L033,0.1
R0011,L048,L081,0.13
R0012,L043,L003,0.13
R0013,L093,L089,3.48
R0014,L012,L015,0.1
R0015,L059,L096,3.42
R0016,L096,L014,3.41
R0017,L041,L078,0.1
R0018,L082,L079,0.11
R0019,L007,L085,0.13
R0020,L011,L055,0.15
R0021,L057,L022,0.1
R0022,L004,L016,0.1
R0023,L023,L029,0.1
R0024,L075,L076,0.14
R0025,L086,L085,0.11
R0026,L039,L010,0.1
R0027,L052,L092,3.48
R0028,L025,L075,0.21
R0029,L080,L011,0.1
R0030,L036,L084,0.1
R0031,L048,L058,0.1
R0032,L089,L096,3.46
R0033,L019,L031,0.1
R0034,L080,L047,0.1
R0035,L071,L078,0.1
R0036,L092,L021,3.35
R0037,L064,L039,0.1
R0038,L083,L052,0.1
R0039,L084,L017,0.1
R0040,L078,L086,0.1
R0041,L010,L068,0.14
R0042,L022,L042,0.11
R0043,L081,L091,3.49
R0044,L042,L020,0.1
R0045,L073,L007,0.1
R0046,L065,L003,0.16
R0047,L015,L002,0.1
R0048,L074,L088,0.14
R0049,L035,L017,0.1
R0050,L086,L062,0.1
R0051,L087,L027,0.1
R0052,L032,L091,3.48
R0053,L038,L022,0.1
R0054,L079,L023,0.1
R0055,L098,L036,0.8
R0056,L099,L001,0.82
R0057,L097,L077,3.35
R0058,L002,L068,0.1
R0059,L067,L085,0.1
R0060,L019,L008,0.1
R0061,L079,L059,0.11
R0062,L025,L088,0.27
R0063,L018,L049,0.1
R0064,L029,L058,0.1
R0065,L049,L036,0.1
R0066,L006,L074,0.1
R0067,L007,L039,0.15
R0068,L053,L006,0.1
R0069,L093,L079,3.35
R0070,L045,L002,0.1
R0071,L059,L086,0.1
R0072,L076,L026,0.1
R0073,L022,L055,0.1
R0074,L063,L056,0.1
R0075,L009,L085,0.27
R0076,L034,L029,0.1
R0077,L075,L030,0.1
R0078,L020,L094,3.45
R0079,L094,L043,3.42
R0080,L012,L090,3.32
R0081,L065,L016,0.1
R0082,L011,L045,0.22
R0083,L098,L013,0.67
R0084,L003,L041,0.19
R0085,L063,L092,3.53
R0086,L055,L088,0.15
R0087,L075,L066,0.1
R0088,L021,L095,3.31
R0089,L014,L056,0.1
R0090,L060,L023,0.1
R0091,L005,L087,0.1
R0092,L024,L100,0.84
R0093,L098,L049,0.8
R0094,L071,L032,0.1
R0095,L090,L045,3.34
R0096,L018,L026,0.1
R0097,L017,L061,0.11
R0098,L008,L012,0.1
R0099,L089,L086,0.1
R0100,L100,L095,2.67
R0101,L047,L089,0.1
R0102,L007,L016,0.1
R0103,L039,L085,0.27
R0104,L059,L063,0.13
R0105,L050,L094,3.52
R0106,L078,L076,0.1
R0107,L076,L003,0.1
R0108,L022,L032,0.18
R0109,L082,L046,0.1
R0110,L028,L075,0.1
R0111,L061,L023,0.15
R0112,L007,L052,0.1
R0113,L031,L080,0.1
R0114,L051,L095,3.33
R0115,L063,L069,0.1
R0116,L055,L065,0.1
R0117,L074,L078,0.1
R0118,L035,L007,0.1
R0119,L021,L072,0.14
R0120,L067,L039,0.28
R0121,L094,L056,3.49
R0122,L087,L017,0.1
R0123,L033,L046,0.1
R0124,L038,L012,0.12
R0125,L024,L077,0.1
R0126,L025,L042,0.14
R0127,L071,L009,0.16
R0128,L044,L055,0.14
R0129,L017,L038,0.1
R0130,L090,L022,3.32
R0131,L097,L067,3.5
R0132,L088,L098,0.9
R0133,L089,L063,0.11
R0134,L068,L040,0.1
R0135,L060,L036,0.1
R0136,L066,L079,0.15
R0137,L072,L010,0.17
R0138,L017,L074,0.1
R0139,L038,L097,3.41
R0140,L058,L075,0.1
R0141,L077,L088,0.21
R0142,L010,L035,0.17
R0143,L078,L053,0.1
R0144,L030,L013,0.1
R0145,L049,L026,0.1
R0146,L006,L064,0.1
R0147,L059,L076,0.1
R0148,L043,L068,0.1
R0149,L062,L081,0.15
R0150,L081,L094,3.5
R0151,L082,L059,0.1
R0152,L075,L020,0.1
R0153,L020,L084,0.1
R0154,L021,L049,0.14
R0155,L094,L033,3.34
R0156,L024,L054,0.1
R0157,L044,L032,0.1
R0158,L085,L070,0.22
R0159,L036,L028,0.1
R0160,L097,L044,3.5
R0161,L067,L052,0.12
R0162,L013,L081,0.23
R0163,L054,L082,0.1
R0164,L060,L013,0.1
R0165,L005,L077,0.1
R0166,L025,L055,0.14
R0167,L071,L022,0.13
R0168,L057,L087,0.1
R0169,L018,L016,0.1
R0170,L036,L064,0.11
R0171,L029,L025,0.16
R0172,L047,L079,0.14
R0173,L006,L041,0.1
R0174,L039,L075,0.22
R0175,L059,L053,0.1
R0176,L078,L066,0.1
R0177,L010,L048,0.16
R0178,L051,L049,0.11
R0179,L030,L026,0.1
R0180,L043,L045,0.1
R0181,L016,L091,3.42
R0182,L009,L052,0.16
R0183,L028,L065,0.1
R0184,L074,L032,0.1
R0185,L019,L096,3.45
R0186,L020,L061,0.11
R0187,L094,L010,3.34
R0188,L012,L057,0.14
R0189,L040,L039,0.18
R0190,L086,L006,0.1
R0191,L011,L012,0.29
R0192,L052,L013,0.13
R0193,L095,L091,0.1
R0194,L075,L033,0.18
R0195,L020,L097,3.44
R0196,L012,L093,3.35
R0197,L013,L058,0.1
R0198,L014,L023,0.1
R0199,L024,L067,0.12
R0200,L052,L049,0.1
R0201,L065,L068,0.1
R0202,L098,L016,0.77
R0203,L090,L012,3.32
R0204,L036,L041,0.1
R0205,L037,L006,0.1
R0206,L035,L082,0.1
R0207,L100,L062,0.82
R0208,L060,L026,0.1
R0209,L046,L091,3.34
R0210,L047,L056,0.1
R0211,L069,L074,0.1
R0212,L029,L038,0.1
R0213,L016,L068,0.1
R0214,L027,L077,0.16
R0215,L007,L019,0.1
R0216,L019,L073,0.1
R0217,L093,L059,3.44
R0218,L043,L058,0.1
R0219,L095,L068,3.4
R0220,L074,L045,0.1
R0221,L020,L074,0.1
R0222,L061,L075,0.1
R0223,L094,L023,3.42
R0224,L031,L083,0.1
R0225,L032,L048,0.1
R0226,L005,L031,0.1
R0227,L092,L099,2.84
R0228,L052,L026,0.1
R0229,L025,L009,0.1
R0230,L044,L022,0.23
R0231,L085,L060,0.2
R0232,L076,L091,3.35
R0233,L096,L069,3.48
R0234,L002,L025,0.1
R0235,L089,L030,0.1
R0236,L100,L039,0.67
R0237,L073,L085,0.15
R0238,L065,L081,0.13
R0239,L057,L077,0.1
R0240,L058,L042,0.1
R0241,L017,L041,0.1
R0242,L077,L055,0.1
R0243,L010,L002,0.1
R0244,L023,L084,0.1
R0245,L015,L080,0.26
R0246,L089,L066,0.1
R0247,L039,L065,0.17
R0248,L051,L039,0.1
R0249,L043,L035,0.1
R0250,L062,L048,0.1
R0251,L063,L013,0.22
R0252,L008,L077,0.1
R0253,L082,L026,0.1
R0254,L027,L090,3.48
R0255,L020,L051,0.12
R0256,L012,L047,0.17
R0257,L064,L094,3.34
R0258,L022,L097,3.33
R0259,L001,L074,0.1
R0260,L061,L088,0.1
R0261,L034,L071,0.1
R0262,L014,L013,0.1
R0263,L073,L062,0.1
R0264,L044,L035,0.11
R0265,L017,L018,0.1
R0266,L023,L061,0.15
R0267,L088,L078,0.16
R0268,L048,L005,0.1
R0269,L089,L043,0.1
R0270,L100,L052,0.84
R0271,L006,L008,0.1
R0272,L093,L013,3.36
R0273,L038,L077,0.1
R0274,L039,L042,0.15
R0275,L057,L090,3.41
R0276,L010,L015,0.1
R0277,L050,L051,0.23
R0278,L070,L029,0.12
R0279,L015,L093,3.32
R0280,L016,L058,0.1
R0281,L027,L067,0.1
R0282,L080,L079,0.22
R0283,L040,L006,0.1
R0284,L099,L092,2.84
R0285,L051,L052,0.12
R0286,L084,L049,0.1
R0287,L063,L026,0.13
R0288,L030,L078,0.1
R0289,L055,L022,0.1
R0290,L001,L051,0.1
R0291,L020,L064,0.12
R0292,L061,L065,0.12
R0293,L012,L060,0.1
R0294,L086,L009,0.16
R0295,L052,L016,0.1
R0296,L076,L081,0.2
R0297,L036,L008,0.1
R0298,L042,L088,0.15
R0299,L088,L055,0.15
R0300,L002,L015,0.1
R0301,L035,L049,0.1
R0302,L053,L097,3.34
R0303,L054,L062,0.1
R0304,L065,L071,0.1
R0305,L066,L036,0.1
R0306,L011,L100,0.93
R0307,L057,L067,0.15
R0308,L058,L032,0.1
R0309,L038,L054,0.1
R0310,L004,L061,0.14
R0311,L050,L028,0.15
R0312,L070,L006,0.1
R0313,L016,L035,0.1
R0314,L068,L082,0.1
R0315,L027,L044,0.1
R0316,L047,L059,0.1
R0317,L080,L056,0.1
R0318,L051,L029,0.12
R0319,L016,L071,0.1
R0320,L063,L003,0.25
R0321,L074,L012,0.14
R0322,L013,L002,0.1
R0323,L024,L011,0.12
R0324,L083,L097,3.45
R0325,L084,L062,0.1
R0326,L085,L027,0.1
R0327,L030,L091,3.41
R0328,L022,L087,0.1
R0329,L097,L001,3.42
R0330,L014,L003,0.12
R0331,L026,L057,0.1
R0332,L046,L035,0.12
R0333,L025,L012,0.1
R0334,L017,L008,0.11
R0335,L075,L098,0.84
R0336,L035,L062,0.1
R0337,L039,L032,0.22
R0338,L098,L081,0.89
R0339,L004,L074,0.1
R0340,L078,L023,0.1
R0341,L051,L006,0.1
R0342,L043,L002,0.1
R0343,L016,L048,0.1
R0344,L062,L015,0.14
R0345,L081,L028,0.15
R0346,L027,L057,0.1
R0347,L028,L022,0.11
R0348,L060,L091,3.35
R0349,L020,L018,0.1
R0350,L099,L082,0.81
R0351,L031,L027,0.1
R0352,L092,L043,3.45
R0353,L084,L039,0.15
R0354,L055,L012,0.14
R0355,L001,L041,0.1
R0356,L061,L055,0.14
R0357,L021,L019,0.14
R0358,L053,L051,0.1
R0359,L011,L054,0.16
R0360,L076,L071,0.1
R0361,L055,L097,3.42
R0362,L086,L084,0.1
R0363,L047,L013,0.13
R0364,L039,L009,0.1
R0365,L098,L058,0.76
R0366,L058,L022,0.1
R0367,L087,L085,0.14
R0368,L099,L059,0.82
R0369,L091,L055,3.42
R0370,L037,L084,0.1
R0371,L083,L051,0.12
R0372,L029,L080,0.11
R0373,L095,L025,3.29
R0374,L006,L096,3.42
R0375,L040,L009,0.18
R0376,L064,L074,0.1
R0377,L024,L001,0.1
R0378,L084,L052,0.1
R0379,L085,L017,0.11
R0380,L030,L081,0.16
R0381,L096,L026,3.42
R0382,L040,L094,3.46
R0383,L046,L025,0.1
R0384,L065,L038,0.1
R0385,L011,L067,0.1
R0386,L057,L034,0.1
R0387,L077,L012,0.1
R0388,L015,L037,0.13
R0389,L087,L062,0.1
R0390,L038,L057,0.1
R0391,L098,L071,0.8
R0392,L099,L036,0.84
R0393,L025,L087,0.13
R0394,L037,L061,0.15
