id_rute,asal,tujuan,jarak
R0001,L059,L002,0.1
R0002,L002,L096,3.35
R0003,L060,L065,0.1
R0004,L048,L063,0.11
R0005,L048,L072,0.1
R0006,L056,L085,0.1
R0007,L048,L090,3.44
R0008,L007,L049,0.1
R0009,L085,L014,0.14
R0010,L022,L074,0.1
R0011,L026,L044,0.13
R0012,L040,L091,3.46
R0013,L074,L093,3.44
R0014,L098,L032,0.85
R0015,L033,L061,0.24
R0016,L050,L001,0.14
R0017,L090,L037,3.41
R0018,L033,L079,0.1
R0019,L071,L042,0.1
R0020,L015,L052,0.17
R0021,L087,L068,0.1
R0022,L002,L091,3.35
R0023,L072,L034,0.1
R0024,L041,L055,0.1
R0025,L028,L094,3.43
R0026,L007,L071,0.1
R0027,L086,L044,0.11
R0028,L038,L013,0.1
R0029,L011,L059,0.14
R0030,L087,L027,0.1
R0031,L044,L056,0.1
R0032,L014,L052,0.1
R0033,L033,L083,0.14
R0034,L091,L015,3.3
R0035,L014,L079,0.1
R0036,L019,L008,0.1
R0037,L083,L029,0.1
R0038,L072,L029,0.1
R0039,L039,L090,3.28
R0040,L084,L003,0.13
R0041,L049,L045,0.11
R0042,L084,L012,0.14
R0043,L078,L090,3.4
R0044,L062,L073,0.1
R0045,L051,L082,0.1
R0046,L055,L052,0.1
R0047,L034,L029,0.1
R0048,L045,L029,0.11
R0049,L026,L025,0.14
R0050,L065,L016,0.1
R0051,L067,L035,0.11
R0052,L098,L013,0.67
R0053,L096,L089,3.46
R0054,L005,L069,0.1
R0055,L090,L018,3.41
R0056,L098,L031,0.81
R0057,L097,L063,3.5
R0058,L024,L100,0.84
R0059,L033,L078,0.1
R0060,L080,L010,0.27
R0061,L071,L041,0.1
R0062,L097,L090,0.1
R0063,L089,L086,0.1
R0064,L017,L079,0.14
R0065,L066,L093,3.47
R0066,L072,L024,0.1
R0067,L018,L053,0.1
R0068,L030,L018,0.1
R0069,L050,L085,0.1
R0070,L061,L005,0.14
R0071,L064,L038,0.1
R0072,L021,L054,0.1
R0073,L074,L078,0.1
R0074,L052,L050,0.13
R0075,L087,L017,0.1
R0076,L067,L048,0.12
R0077,L044,L046,0.22
R0078,L052,L059,0.1
R0079,L096,L093,0.1
R0080,L097,L058,3.41
R0081,L088,L089,0.12
R0082,L036,L051,0.11
R0083,L054,L087,0.1
R0084,L002,L067,0.21
R0085,L100,L081,0.92
R0086,L089,L090,3.45
R0087,L022,L009,0.1
R0088,L007,L029,0.1
R0089,L078,L080,0.14
R0090,L062,L063,0.13
R0091,L053,L005,0.1
R0092,L007,L047,0.1
R0093,L053,L014,0.1
R0094,L031,L066,0.1
R0095,L028,L097,3.42
R0096,L005,L059,0.1
R0097,L098,L021,0.66
R0098,L036,L055,0.1
R0099,L014,L064,0.1
R0100,L023,L094,3.42
R0101,L064,L001,0.1
R0102,L072,L099,0.84
R0103,L043,L081,0.15
R0104,L092,L095,0.1
R0105,L052,L031,0.1
R0106,L075,L033,0.18
R0107,L024,L058,0.1
R0108,L088,L061,0.1
R0109,L024,L067,0.12
R0110,L096,L083,3.46
R0111,L002,L039,0.1
R0112,L071,L008,0.1
R0113,L035,L073,0.1
R0114,L037,L015,0.13
R0115,L089,L062,0.1
R0116,L057,L100,0.81
R0117,L077,L078,0.1
R0118,L019,L073,0.1
R0119,L039,L088,0.28
R0120,L028,L060,0.1
R0121,L009,L065,0.16
R0122,L088,L056,0.1
R0123,L005,L049,0.1
R0124,L017,L014,0.1
R0125,L096,L069,3.48
R0126,L036,L027,0.1
R0127,L079,L007,0.11
R0128,L100,L066,0.85
R0129,L050,L065,0.13
R0130,L059,L043,0.1
R0131,L082,L008,0.1
R0132,L099,L088,0.95
R0133,L091,L084,3.43
R0134,L019,L077,0.1
R0135,L008,L077,0.1
R0136,L020,L042,0.1
R0137,L092,L058,3.44
R0138,L074,L031,0.1
R0139,L094,L009,3.33
R0140,L084,L063,0.13
R0141,L041,L092,3.52
R0142,L052,L003,0.16
R0143,L021,L034,0.15
R0144,L055,L036,0.1
R0145,L052,L012,0.17
R0146,L014,L004,0.1
R0147,L033,L026,0.11
R0148,L025,L022,0.1
R0149,L002,L029,0.1
R0150,L088,L069,0.1
R0151,L023,L061,0.15
R0152,L026,L094,3.42
R0153,L038,L059,0.1
R0154,L054,L076,0.1
R0155,L071,L007,0.1
R0156,L029,L001,0.1
R0157,L054,L085,0.15
R0158,L093,L013,3.36
R0159,L023,L088,0.15
R0160,L004,L084,0.1
R0161,L077,L068,0.1
R0162,L098,L100,0.1
R0163,L051,L043,0.1
R0164,L043,L048,0.1
R0165,L028,L059,0.1
R0166,L049,L100,0.84
R0167,L061,L092,3.53
R0168,L034,L075,0.1
R0169,L002,L015,0.1
R0170,L034,L084,0.1
R0171,L057,L049,0.1
R0172,L053,L097,3.34
R0173,L025,L026,0.14
R0174,L042,L097,3.43
R0175,L046,L058,0.1
R0176,L003,L087,0.13
R0177,L089,L038,0.1
R0178,L023,L065,0.1
R0179,L093,L008,3.37
R0180,L068,L073,0.1
R0181,L058,L059,0.1
R0182,L087,L095,3.41
R0183,L004,L088,0.14
R0184,L078,L037,0.1
R0185,L059,L033,0.11
R0186,L099,L069,0.89
R0187,L016,L071,0.1
R0188,L091,L083,3.46
R0189,L083,L079,0.14
R0190,L012,L037,0.13
R0191,L076,L040,0.11
R0192,L007,L089,0.1
R0193,L076,L067,0.2
R0194,L042,L065,0.1
R0195,L065,L039,0.17
R0196,L088,L041,0.17
R0197,L045,L070,0.1
R0198,L011,L086,0.12
R0199,L058,L018,0.1
R0200,L038,L058,0.1
R0201,L003,L100,0.68
R0202,L008,L026,0.1
R0203,L015,L074,0.14
R0204,L056,L075,0.1
R0205,L059,L019,0.1
R0206,L068,L095,3.4
R0207,L060,L091,3.35
R0208,L020,L018,0.1
R0209,L018,L085,0.15
R0210,L080,L078,0.14
R0211,L030,L059,0.1
R0212,L022,L064,0.1
R0213,L012,L050,0.29
R0214,L088,L018,0.15
R0215,L061,L064,0.21
R0216,L073,L029,0.1
R0217,L076,L071,0.1
R0218,L011,L063,0.1
R0219,L088,L045,0.22
R0220,L065,L052,0.1
R0221,L067,L080,0.1
R0222,L058,L031,0.1
