id_rute,asal,tujuan,jarak
R0001,L073,L019,0.1
R0002,L042,L050,0.15
R0003,L003,L049,0.15
R0004,L019,L100,0.83
R0005,L046,L029,0.12
R0006,L063,L045,0.21
R0007,L021,L094,3.33
R0008,L077,L062,0.1
R0009,L084,L022,0.11
R0010,L064,L053,0.1
R0011,L085,L051,0.22
R0012,L004,L041,0.1
R0013,L076,L091,3.35
R0014,L034,L085,0.1
R0015,L070,L050,0.23
R0016,L013,L062,0.1
R0017,L068,L062,0.1
R0018,L017,L023,0.1
R0019,L063,L020,0.1
R0020,L063,L084,0.13
R0021,L074,L084,0.1
R0022,L031,L076,0.11
R0023,L012,L008,0.1
R0024,L086,L076,0.1
R0025,L007,L051,0.1
R0026,L042,L018,0.1
R0027,L022,L049,0.13
R0028,L034,L014,0.1
R0029,L090,L046,3.33
R0030,L073,L005,0.1
R0031,L078,L056,0.1
R0032,L073,L014,0.1
R0033,L026,L083,0.1
R0034,L045,L041,0.15
R0035,L012,L038,0.12
R0036,L018,L054,0.1
R0037,L038,L011,0.16
R0038,L020,L005,0.1
R0039,L035,L024,0.1
R0040,L032,L089,0.1
R0041,L076,L004,0.1
R0042,L061,L015,0.27
R0043,L004,L027,0.1
R0044,L076,L013,0.1
R0045,L004,L100,0.81
R0046,L024,L048,0.1
R0047,L031,L035,0.1
R0048,L071,L062,0.1
R0049,L061,L063,0.1
R0050,L024,L078,0.1
R0051,L029,L074,0.1
R0052,L092,L023,3.45
R0053,L079,L032,0.19
R0054,L068,L032,0.1
R0055,L034,L027,0.1
R0056,L030,L078,0.1
R0057,L041,L023,0.1
R0058,L029,L003,0.16
R0059,L083,L038,0.1
R0060,L015,L068,0.13
R0061,L049,L045,0.11
R0062,L079,L080,0.22
R0063,L058,L002,0.1
R0064,L013,L043,0.1
R0065,L036,L008,0.1
R0066,L062,L091,3.43
R0067,L091,L072,3.44
R0068,L075,L030,0.1
R0069,L092,L046,3.37
R0070,L043,L096,3.42
R0071,L094,L043,3.42
R0072,L091,L090,0.1
R0073,L089,L038,0.1
R0074,L021,L013,0.1
R0075,L012,L044,0.28
R0076,L003,L041,0.19
R0077,L094,L070,3.34
R0078,L081,L070,0.22
R0079,L085,L034,0.1
R0080,L050,L046,0.23
R0081,L042,L008,0.1
R0082,L024,L036,0.1
R0083,L007,L050,0.14
R0084,L033,L014,0.1
R0085,L053,L090,3.33
R0086,L037,L039,0.14
R0087,L023,L049,0.1
R0088,L008,L012,0.1
R0089,L010,L031,0.18
R0090,L077,L029,0.1
R0091,L012,L083,0.17
R0092,L093,L001,3.45
R0093,L073,L025,0.13
R0094,L001,L055,0.1
R0095,L098,L088,0.9
R0096,L056,L082,0.1
R0097,L036,L058,0.1
R0098,L046,L099,0.73
R0099,L089,L079,0.14
R0100,L063,L005,0.13
R0101,L004,L056,0.1
R0102,L062,L070,0.1
R0103,L046,L028,0.1
R0104,L029,L021,0.14
R0105,L040,L051,0.13
R0106,L026,L013,0.1
R0107,L086,L082,0.1
R0108,L077,L079,0.1
R0109,L074,L071,0.1
R0110,L064,L070,0.1
R0111,L009,L045,0.1
R0112,L070,L049,0.11
R0113,L010,L044,0.28
R0114,L040,L023,0.1
R0115,L044,L039,0.27
R0116,L022,L082,0.1
R0117,L041,L095,3.49
R0118,L007,L047,0.1
R0119,L057,L094,3.43
R0120,L048,L091,3.45
R0121,L071,L093,3.47
R0122,L001,L043,0.1
R0123,L069,L095,3.47
R0124,L041,L079,0.17
R0125,L027,L025,0.22
R0126,L032,L085,0.1
R0127,L079,L026,0.11
R0128,L031,L013,0.14
R0129,L012,L091,3.33
R0130,L064,L019,0.11
R0131,L085,L081,0.1
R0132,L090,L074,3.41
R0133,L061,L068,0.15
R0134,L094,L001,3.43
R0135,L053,L064,0.1
R0136,L017,L044,0.11
R0137,L040,L094,3.46
R0138,L029,L082,0.1
R0139,L021,L007,0.12
R0140,L054,L022,0.1
R0141,L046,L073,0.1
R0142,L036,L050,0.13
R0143,L008,L098,0.7
R0144,L010,L071,0.17
R0145,L047,L010,0.18
R0146,L058,L010,0.14
R0147,L003,L019,0.15
R0148,L005,L038,0.1
R0149,L073,L065,0.1
R0150,L051,L099,0.73
